Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,30883,2,2,82,146,41,41,41.0,0.0,73,73,73.0,0.0,7382.702458,129.5210957,10294.33333,17825.11221,30877,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,64.76054787,64.76054787,41,73,53.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,67.25,41.0,73.0,64,0,0,0,0,0,0,2,82,2,146,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,127459,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,91268.56479,62.76528138,18208.42857,47797.35788,126602,5,668,334.0,354.9676042,585,83,127380,31845.0,63172.02547,126602,5,0,0,0,0,72,112,23.53698052,39.22830087,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,222336,1,1,45,114,45,45,45.0,0.0,114,114,114.0,0.0,715.1338515,8.995394358,222336.0,0.0,222336,222336,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,4.497697179,4.497697179,45,114,68.0,39.83716857,1587.0,0,0,0,0,0,0,0,0,1,102.0,45.0,114.0,32,0,0,0,0,0,0,1,45,1,114,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48226,2,2,76,108,38,38,38.0,0.0,54,54,54.0,0.0,3815.369303,82.94281093,16075.33333,27837.23191,48219,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,41.47140547,41.47140547,38,54,44.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,55.5,38.0,54.0,64,0,0,0,0,0,0,2,76,2,108,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
57262,4205216,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,8.560796877,1.42679948,841043.2,1875724.464,4196438,1,0,0.0,0.0,0,0,4198958,1049739.5,2097799.334,4196438,1,0,0,0,0,20,100,0.237799913,1.188999566,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,4662341,15,8,2622,4776,437,0,174.8,221.5994456,796,0,597.0,368.4763997,1586.756524,4.933144101,211924.5909,426719.7486,1375318,18,4662341,333024.3571,500877.2077,1375318,194,3263288,466184.0,514587.1697,1195619,1011,0,0,0,0,488,264,3.217267892,1.715876209,0,796,308.25,340.5287768,115959.8478,0,0,0,1,0,0,0,0,0,321.6521739,174.8,597.0,488,0,0,0,0,0,0,15,2622,8,4776,29200,296,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,12044670,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.490728264,0.415121377,3011167.5,6020340.39,12000000,2,12000000,3011167.5,6020340.39,12000000,2,0,0.0,0.0,0,0,0,0,0,0,100,0,0.415121377,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2992.0,0.0,2992,2992,12000000.0,0.0,12000000,12000000,DDoS
80,1680438,3,4,26,11601,20,0,8.666666667,10.26320288,10135,0,2900.25,4871.82583,6919.029444,4.16558064,280073.0,680897.5763,1669925,36,10272,5136.0,7212.489168,10236,36,1680366,560122.0,961130.735,1669925,194,0,0,0,0,72,92,1.785248846,2.380331794,0,10135,1453.375,3544.652026,12600000.0,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,632169,3,5,26,11607,20,0,8.666666667,10.26320288,10220,0,2321.4,4455.182578,18401.72486,12.65484388,90309.85714,238482.5137,631137,1,795,397.5,560.7356775,794,1,632148,158037.0,315400.1955,631137,2,0,0,0,0,72,112,4.745566455,7.909277424,0,10220,1292.555556,3378.299021,11400000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
62089,3230071,1,6,6,36,6,6,6.0,0.0,6,6,6.0,0.0,13.00281015,2.167135026,538345.1667,1302511.8,3197047,1,0,0.0,0.0,0,0,3212951,642590.2,1427994.585,3197047,1,0,0,0,0,20,120,0.309590718,1.857544308,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,6,6.857142857,6.0,6.0,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,224834,2,2,60,344,30,30,30.0,0.0,172,172,172.0,0.0,1796.881255,17.79090351,74944.66667,129762.939,224782,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,64,40,8.895451756,8.895451756,30,172,86.8,77.77660317,6049.2,0,0,0,0,0,0,0,0,1,108.5,30.0,172.0,64,0,0,0,0,0,0,2,60,2,344,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,954331,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,12189.691,9.43069019,119291.375,337122.5314,953627,3,545,272.5,289.2066735,477,68,954293,190858.6,426400.5725,953627,3,0,0,0,0,72,132,3.143563397,6.287126794,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,41771,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,278494.6494,191.5204328,5967.285714,15353.41496,40782,5,772,386.0,478.0041841,724,48,41693,10423.25,20241.78041,40782,5,0,0,0,0,72,112,71.82016231,119.7002705,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,82234076,8,5,56,11607,20,0,7.0,5.656854249,10220,0,2321.4,4455.182578,141.8268505,0.158085317,6852839.667,20200000.0,70200000,1,80800000,11500000.0,26100000.0,70200000,1,1407910,351977.5,703399.7608,1407077,3,0,0,0,0,172,112,0.097283272,0.060802045,0,10220,833.5,2726.136143,7431818.269,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,1006.0,0.0,1006,1006,40400000.0,42100000.0,70200000,10700000,DDoS
80,38642,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,300890.2231,181.150044,6440.333333,10512.91968,25134,2,13141,6570.5,9289.261784,13139,2,38529,12843.0,12478.02641,25134,186,0,0,0,0,72,92,77.63573314,103.5143109,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
49948,7516878,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,4.789222334,0.798203722,1503375.6,3341521.67,7480824,1,0,0.0,0.0,0,0,7484926,1871231.5,3739728.556,7480824,1,0,0,0,0,20,100,0.133033954,0.665169769,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,36054.0,0.0,36054,36054,7480824.0,0.0,7480824,7480824,BENIGN
51052,110227,4,3,11601,26,8760,0,2900.25,4128.319301,20,0,8.666666667,10.26320288,105482.3228,63.50531177,18371.16667,34696.37312,86624,1,110227,36742.33333,44732.37819,86624,189,23341,11670.5,16371.6433,23247,94,0,0,0,0,92,72,36.28874958,27.21656219,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,1,0,0,0,0,1661.0,2900.25,8.666666667,92,0,0,0,0,0,0,4,11601,3,26,29200,256,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,57204,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,524.4388504,87.40647507,14301.0,27946.70639,56221,273,57204,14301.0,27946.70639,56221,273,0,0.0,0.0,0,0,0,0,0,0,100,0,87.40647507,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,140,2,2,100,132,50,50,50.0,0.0,66,66,66.0,0.0,1657142.857,28571.42857,46.66666667,75.63288526,134,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,14285.71429,14285.71429,50,66,56.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,70.5,50.0,66.0,40,0,0,0,0,0,0,2,100,2,132,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,11247717,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.667207932,0.444534655,2811929.25,5621175.307,11200000,4,11200000,2811929.25,5621175.307,11200000,4,0,0.0,0.0,0,0,0,0,0,0,100,0,0.444534655,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,4025.0,0.0,4025,4025,11200000.0,0.0,11200000,11200000,DDoS
49953,2711045,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,13.27901234,2.213168723,542209.0,1195639.438,2680970,3,0,0.0,0.0,0,0,2704974,676243.5,1336526.558,2680970,3,0,0,0,0,20,100,0.368861454,1.844307269,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
